article_id,cluster_id,span_id,span,text,label
491,2082,0,"[57, 59]",host Jan Lee,0
491,2082,1,"[177, 177]",Jan,0
491,2082,2,"[203, 203]",her,0
491,2082,3,"[233, 233]",she,0
491,2082,4,"[295, 297]",Jan ' s,0
491,2082,5,"[359, 360]",Jan Lee,1
491,2082,6,"[423, 424]",Jan Lee,1
491,2082,7,"[431, 434]",Jan Lee ' s,0
914,3917,8,"[414, 414]",find,0
914,3917,9,"[432, 432]",This,0
133,478,10,"[94, 107]",the thousands of editorial and stock photos that our staff and contributing photographers shoot,1
133,478,11,"[109, 110]",These photos,0
382,1667,12,"[82, 82]",Spain,1
382,1667,13,"[221, 221]",Spain,1
1088,4814,14,"[57, 58]",a statement,0
1088,4814,15,"[113, 114]",the statement,0
564,2272,16,"[32, 33]",Biden,1
564,2272,17,"[60, 61]",Biden,1
564,2272,18,"[108, 109]",Biden,1
143,500,19,"[23, 24]",his mother,0
143,500,20,"[28, 28]",she,0
440,1917,21,"[25, 26]",this year,0
440,1917,22,"[106, 107]",the year,0
440,1917,23,"[211, 212]",2021,1
596,2383,24,"[53, 56]",particular objects and things,1
596,2383,25,"[58, 58]",they,0
722,2939,26,"[82, 90]",the Duke - NUS Medical school in Singapore,1
722,2939,27,"[189, 192]",Duke - NUS,0
932,4026,28,"[32, 40]",the COVID - 19 pandemic,1
932,4026,29,"[222, 225]",a pandemic,0
932,4026,30,"[231, 231]",it,0
294,1205,31,"[30, 30]",she,0
294,1205,32,"[32, 32]",her,0
1024,4483,33,"[1, 5]",Montblanc ’ s,0
1024,4483,34,"[26, 28]",the watchmaker,0
1024,4483,35,"[150, 152]",Montblanc,1
1024,4483,36,"[207, 211]",Montblanc ’ s,0
903,3856,37,"[335, 343]",Sinopharm COVID - 19 vaccine,1
903,3856,38,"[355, 359]",the Sinopharm vaccine,0
903,3856,39,"[456, 460]",the Sinopharm vaccine,0
817,3412,40,"[76, 78]",Secondhand smoke,1
817,3412,41,"[93, 93]",It,0
817,3412,42,"[132, 132]",it,0
817,3412,43,"[257, 257]",It,0
267,1061,44,"[182, 182]",we,0
267,1061,45,"[205, 205]",we,0
267,1061,46,"[216, 216]",our,0
602,2442,47,"[497, 501]",BT Podcasts,0
602,2442,48,"[504, 504]",our,0
1007,4386,49,"[5, 5]",Spain,1
1007,4386,50,"[24, 24]",its,0
1007,4386,51,"[115, 115]",Spain,1
1007,4386,52,"[124, 124]",Spain,1
1007,4386,53,"[195, 197]",Spain ' s,0
1007,4386,54,"[223, 223]",Spain,1
1007,4386,55,"[232, 232]",its,0
1007,4386,56,"[252, 252]",Spain,1
973,4185,57,"[50, 53]",the Southeast Asian nation,0
973,4185,58,"[353, 353]",Malaysia,1
973,4185,59,"[393, 397]",the country of 32 million,0
82,277,60,"[136, 137]",the couple,0
82,277,61,"[162, 162]",they,0
82,277,62,"[214, 217]",he and his girlfriend,0
214,781,63,"[157, 170]",the Office of the National Broadcasting and Telecommunications Commission ( NBTC ),1
214,781,64,"[187, 189]",NBTC,0
697,2807,65,"[135, 137]",the shopping mall,1
697,2807,66,"[149, 150]",the mall,0
901,3837,67,"[190, 191]",his wife,0
901,3837,68,"[248, 263]","his wife , who acted as his referee and a de facto guarantor",0
901,3837,69,"[274, 274]",she,0
901,3837,70,"[282, 282]",her,0
216,791,71,"[161, 162]",all leaders,0
216,791,72,"[174, 174]",their,0
1155,5133,73,"[40, 41]",his children,0
1155,5133,74,"[104, 106]",his two children,0
